time,open,high,low,close,volume
2026-01-01T00:00:00Z,1.08100,1.08100,1.08100,1.08100,1000
2026-01-01T01:00:00Z,1.08000,1.08000,1.08000,1.08000,1000
2026-01-01T02:00:00Z,1.08300,1.08300,1.08300,1.08300,1000
2026-01-01T03:00:00Z,1.08650,1.08650,1.08650,1.08650,1000
2026-01-01T04:00:00Z,1.08400,1.08400,1.08400,1.08400,1000
2026-01-01T05:00:00Z,1.08230,1.08230,1.08230,1.08230,1000
2026-01-01T06:00:00Z,1.08600,1.08600,1.08600,1.08600,1000
2026-01-01T07:00:00Z,1.09100,1.09100,1.09100,1.09100,1000
2026-01-01T08:00:00Z,1.08800,1.08800,1.08800,1.08800,1000
2026-01-01T09:00:00Z,1.08600,1.08600,1.08600,1.08600,1000
2026-01-01T10:00:00Z,1.09000,1.09000,1.09000,1.09000,1000
2026-01-01T11:00:00Z,1.09480,1.09480,1.09480,1.09480,1000
2026-01-01T12:00:00Z,1.09200,1.09200,1.09200,1.09200,1000
2026-01-01T13:00:00Z,1.09100,1.09300,1.08800,1.08900,1000
2026-01-01T14:00:00Z,1.08900,1.09000,1.08200,1.08400,1000
